side,entry_index,exit_index,entry_price,exit_price,stop_loss_price,take_profit_price,exit_reason,gross_return,leveraged_return,net_return
short,71814,72111,27658.863650,27105.686377,27935.452287,27105.686377,take_profit,20.000000,200.000000,199.200000
short,72888,73066,26816.984800,27085.154648,27085.154648,26280.645104,stop_loss,-10.000000,-100.000000,-100.800000
short,76014,76154,26425.880450,26690.139255,26690.139255,25897.362841,stop_loss,-10.000000,-100.000000,-100.800000
short,76330,76586,26440.573100,26704.978831,26704.978831,25911.761638,stop_loss,-10.000000,-100.000000,-100.800000
short,77235,77666,25783.901600,26041.740616,26041.740616,25268.223568,stop_loss,-10.000000,-100.000000,-100.800000
short,77734,78291,25769.208950,26026.901040,26026.901040,25253.824771,stop_loss,-10.000000,-100.000000,-100.800000
short,81990,82015,27851.667200,28130.183872,28130.183872,27294.633856,stop_loss,-10.000000,-100.000000,-100.800000
short,83128,83340,30008.788100,30308.875981,30308.875981,29408.612338,stop_loss,-10.000000,-100.000000,-100.800000
short,84416,85167,30343.320750,30646.753958,30646.753958,29736.454335,stop_loss,-10.000000,-100.000000,-100.800000
short,86737,86879,30424.780000,30460.200000,30729.027800,29816.284400,backtest_end,-1.164183,-11.641826,-12.441826
